Member Joining Date,Membership Start Date,Membership Type Name,Membership Completed On,Division Name
2021-10-07,2021-10-07,Gold Monthly ($2.99 CC Fee),2021-10-07,Gym Membership
2021-04-24,2021-04-24,Gold Monthly (Pay w/Routing&Acct Only),2021-04-24,Gym Membership
2021-08-31,2021-08-31,Diamond Monthly (Pay w/Routing&Acct Only),2021-08-31,Gym Membership
2021-03-04,2021-03-04,Platinum Paid in Full,2021-03-04,Gym Membership
2021-04-15,2021-04-15,Platinum Monthly (Pay w Routing/Acct Only),2021-04-15,Gym Membership
2021-03-08,2021-03-08,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-08,Gym Membership
2021-03-28,2021-03-28,Platinum Paid in Full,2021-03-28,Gym Membership
2021-02-02,2021-02-02,Platinum Monthly ($2.99 Debit/CC Fee),2021-02-02,Gym Membership
2021-02-24,2021-02-24,Gold Monthly (Pay w/Routing&Acct Only),2021-02-24,Gym Membership
2021-06-24,2021-06-24,Platinum Monthly (Pay w Routing/Acct Only),2021-06-24,Gym Membership
2021-03-31,2021-03-31,Gold Monthly (Pay w/Routing&Acct Only),2021-03-31,Gym Membership
2021-01-11,2021-01-11,Gold Monthly (Pay w/Routing&Acct Only),2021-01-11,Gym Membership
2021-03-19,2021-03-19,Platinum Monthly ($2.99 Debit/CC Fee),2021-03-19,Gym Membership
2021-09-15,2021-09-15,Gold Monthly (Pay w/Routing&Acct Only),2021-09-15,Gym Membership
2021-01-30,2021-01-30,Platinum Monthly ($2.99 CC Fee),2021-01-30,Gym Membership
2021-09-01,2021-09-01,Gold Monthly (Pay w/Routing&Acct Only),2021-09-01,Gym Membership
2021-02-16,2021-02-16,Diamond Monthly (Pay w/Routing&Acct Only),2021-02-16,Gym Membership
2021-01-21,2021-01-21,Gold Monthly ($2.99 CC Fee),2021-01-21,Gym Membership
2021-09-29,2021-09-29,4x week 6 months (96 session) Bi-Weekly ,2021-09-29,Personal Training 
2021-05-11,2021-05-11,Platinum Paid in Full,2021-05-11,Gym Membership
2021-10-29,2021-10-29,Diamond Monthly (No Commitment) ,2021-10-29,Gym Membership
2021-02-08,2021-02-08,Gold Monthly (Pay w/Routing&Acct Only),2021-02-08,Gym Membership
2021-03-24,2021-03-24,Platinum Monthly (Pay w Routing/Acct Only),2021-03-24,Gym Membership
2021-03-12,2021-03-12,Platinum Monthly (Pay w Routing/Acct Only),2021-03-12,Gym Membership
2021-09-06,2021-09-06,Gold Monthly (Pay w/Routing&Acct Only),2021-09-06,Gym Membership
2021-01-14,2021-01-14,Gold Monthly ($2.99 CC Fee),2021-01-14,Gym Membership
2021-03-31,2021-03-31,Diamond Monthly (No Commitment) ,2021-03-31,Gym Membership
2021-03-24,2021-03-24,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-24,Gym Membership
2021-03-20,2021-03-20,Platinum Monthly (Pay w Routing/Acct Only),2021-03-20,Gym Membership
2021-04-26,2021-04-26,Gold Monthly (Pay w/Routing&Acct Only),2021-04-26,Gym Membership
2021-08-08,2021-08-08,Platinum Paid in Full,2021-08-08,Gym Membership
2021-03-22,2021-03-22,Diamond Paid in Full,2021-03-22,Gym Membership
2021-03-31,2021-03-31,Platinum Monthly (Pay w Routing/Acct Only),2021-03-31,Gym Membership
2021-03-24,2021-03-24,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-24,Gym Membership
2021-05-18,2021-05-18,Gold Monthly (Pay w/Routing&Acct Only),2021-05-18,Gym Membership
2021-08-31,2021-08-31,Platinum Monthly (Pay w Routing/Acct Only),2021-08-31,Gym Membership
2021-07-19,2021-07-19,Gold Monthly (Pay w/Routing&Acct Only),2021-07-19,Gym Membership
2021-03-12,2021-03-12,Platinum Monthly (Pay w Routing/Acct Only),2021-03-12,Gym Membership
2021-08-29,2021-08-29,Platinum Paid in Full,2021-08-29,Gym Membership
2021-08-18,2021-08-18,Gold Monthly (Pay w/Routing&Acct Only),2021-08-18,Gym Membership
2021-03-05,2021-03-05,Platinum Monthly (Pay w Routing/Acct Only),2021-03-05,Gym Membership
2021-01-14,2021-01-14,Platinum Monthly ($2.99 CC Fee),2021-01-14,Gym Membership
2021-09-16,2021-09-16,Platinum Monthly ($2.99 Debit/CC Fee),2021-09-16,Gym Membership
2021-01-29,2021-01-29,Diamond Monthly (No Commitment) ,2021-01-29,Gym Membership
2021-08-19,2021-08-19,Platinum Monthly (No Commitment),2021-08-19,Gym Membership
2021-07-12,2021-07-12,Gold Monthly (Pay w/Routing&Acct Only),2021-07-12,Gym Membership
2021-03-30,2021-03-30,Gold Monthly (Pay w/Routing&Acct Only),2021-03-30,Gym Membership
2021-01-06,2021-01-06,Platinum Monthly ($2.99 CC Fee),2021-01-06,Gym Membership
2021-02-13,2021-02-13,Diamond Monthly (No Commitment) ,2021-02-13,Gym Membership
2018-08-30,2021-02-21,Gold Monthly (No Commitment),2021-02-21,Gym Membership
2021-07-15,2021-07-15,Platinum Monthly (Pay w Routing/Acct Only),2021-07-15,Gym Membership
2021-03-02,2021-03-02,Platinum Paid in Full,2021-03-02,Gym Membership
2021-03-09,2021-03-09,Platinum Monthly (Pay w Routing/Acct Only),2021-03-09,Gym Membership
2021-03-10,2021-03-10,Platinum Monthly (Pay w Routing/Acct Only),2021-03-10,Gym Membership
2021-03-20,2021-03-20,Platinum Monthly (Pay w Routing/Acct Only),2021-03-20,Gym Membership
2021-09-20,2021-09-20,Platinum Monthly (Pay w Routing/Acct Only),2021-09-20,Gym Membership
2021-03-31,2021-03-31,Platinum Paid in Full,2021-03-31,Gym Membership
2021-06-24,2021-06-24,Platinum Paid in Full,2021-06-24,Gym Membership
2021-08-10,2021-08-10,Diamond Monthly,2021-08-10,Gym Membership
2021-03-24,2021-03-24,Platinum Monthly (Pay w Routing/Acct Only),2021-03-24,Gym Membership
2021-06-19,2021-06-19,Gold Monthly (Pay w/Routing&Acct Only),2021-06-19,Gym Membership
2021-05-24,2021-05-24,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-24,Gym Membership
2021-03-24,2021-03-24,Platinum Monthly (Pay w Routing/Acct Only),2021-03-24,Gym Membership
2021-03-29,2021-03-29,Gold Monthly (No Commitment),2021-03-29,Gym Membership
2017-05-22,2021-05-15,Gold Monthly (Pay w/Routing&Acct Only),2021-05-15,Gym Membership
2021-07-13,2021-07-13,Platinum Monthly ($2.99 Debit/CC Fee),2021-07-13,Gym Membership
2021-09-16,2021-09-16,Gold Monthly (Pay w/Routing&Acct Only),2021-09-16,Gym Membership
2021-04-08,2021-04-08,Platinum Paid in Full,2021-04-08,Gym Membership
2021-05-29,2021-05-29,Platinum Monthly (Pay w Routing/Acct Only),2021-05-29,Gym Membership
2021-06-09,2021-06-09,Diamond Monthly (Pay w/Routing&Acct Only),2021-06-09,Gym Membership
2021-02-01,2021-02-01,Gold Monthly (Pay w/Routing&Acct Only),2021-02-01,Gym Membership
2021-02-02,2021-02-02,Platinum Monthly (Pay w Routing/Acct Only),2021-02-02,Gym Membership
2021-01-25,2021-01-25,Gold Monthly ($2.99 CC Fee),2021-01-25,Gym Membership
2021-05-06,2021-05-06,Gold Monthly (Pay w/Routing&Acct Only),2021-05-06,Gym Membership
2021-10-04,2021-10-04,Gold Monthly ($2.99 Debit/CC Fee),2021-10-04,Gym Membership
2021-09-20,2021-09-20,Platinum Monthly (Pay w Routing/Acct Only),2021-09-20,Gym Membership
2021-04-12,2021-04-12,Gold Monthly (Pay w/Routing&Acct Only),2021-04-12,Gym Membership
2021-01-29,2021-01-29,Gold Monthly ($2.99 CC Fee),2021-01-29,Gym Membership
2021-02-08,2021-02-08,Diamond Monthly (Pay w/Routing&Acct Only),2021-02-08,Gym Membership
2021-02-13,2021-02-13,Gold Monthly (Pay w/Routing&Acct Only),2021-02-13,Gym Membership
2021-01-07,2021-01-07,Diamond Monthly ($2.99 Debit/CC Fee),2021-01-07,Gym Membership
2021-06-15,2021-06-15,Gold Monthly (Pay w/Routing&Acct Only),2021-06-15,Gym Membership
2021-05-10,2021-05-10,Gold Monthly ($2.99 Debit/CC Fee),2021-05-10,Gym Membership
2021-01-19,2021-01-19,Gold Monthly ($2.99 CC Fee),2021-01-19,Gym Membership
2021-02-17,2021-02-17,Platinum Monthly (Pay w Routing/Acct Only),2021-02-17,Gym Membership
2021-01-23,2021-01-23,Platinum Monthly ($2.99 CC Fee),2021-01-23,Gym Membership
2021-07-06,2021-07-06,Platinum Monthly (Pay w Routing/Acct Only),2021-07-06,Gym Membership
2021-06-21,2021-06-21,Platinum Monthly ($2.99 Debit/CC Fee),2021-06-21,Gym Membership
2021-07-12,2021-07-12,Platinum Monthly (Pay w Routing/Acct Only),2021-07-12,Gym Membership
2021-07-18,2021-07-18,Platinum Paid in Full,2021-07-18,Gym Membership
2021-01-14,2021-01-14,2x Month 3 months,2021-01-14,Personal Training 
2021-01-07,2021-01-07,Gold Monthly ($2.99 CC Fee),2021-01-07,Gym Membership
2021-06-03,2021-06-03,Gold Monthly ($2.99 Debit/CC Fee),2021-06-03,Gym Membership
2021-03-02,2021-03-02,Gold Monthly (Pay w/Routing&Acct Only),2021-03-02,Gym Membership
2021-07-07,2021-07-07,Platinum Monthly ($2.99 Debit/CC Fee),2021-07-07,Gym Membership
2020-07-30,2021-03-16,Platinum Monthly (Pay w Routing/Acct Only),2021-03-16,Gym Membership
2021-08-09,2021-08-09,Gold Monthly (Pay w/Routing&Acct Only),2021-08-09,Gym Membership
2021-03-02,2021-03-02,Platinum Monthly (Pay w Routing/Acct Only),2021-03-02,Gym Membership
2021-05-29,2021-05-29,Gold Monthly (No Commitment),2021-05-29,Gym Membership
2021-04-21,2021-04-21,New Tour ,2021-04-21,Gym Membership
2021-04-22,2021-04-22,SILVER SNEAKERS ,2021-04-22,Gym Membership
2021-05-28,2021-05-28,Gold Paid in Full,2021-05-28,Gym Membership
2021-05-14,2021-05-14,Gold Monthly ($2.99 Debit/CC Fee),2021-05-14,Gym Membership
2021-02-17,2021-02-17,Platinum Monthly (Pay w Routing/Acct Only),2021-02-17,Gym Membership
2021-07-20,2021-07-20,Platinum Paid in Full,2021-07-20,Gym Membership
2021-02-28,2021-02-28,Diamond Monthly (Pay w/Routing&Acct Only),2021-02-28,Gym Membership
2021-09-10,2021-09-10,Platinum Monthly (Pay w Routing/Acct Only),2021-09-10,Gym Membership
2021-01-06,2021-01-06,Gold Paid in Full,2021-01-06,Gym Membership
2021-05-07,2021-05-07,Gold Monthly ($2.99 Debit/CC Fee),2021-05-07,Gym Membership
2021-08-23,2021-08-23,Gold Monthly (Pay w/Routing&Acct Only),2021-08-23,Gym Membership
2021-09-22,2021-09-22,Gold Monthly (No Commitment),2021-09-22,Gym Membership
2021-03-09,2021-03-09,Platinum Monthly (Pay w Routing/Acct Only),2021-03-09,Gym Membership
2021-06-18,2021-06-18,Gold Monthly (Pay w/Routing&Acct Only),2021-06-18,Gym Membership
2021-06-07,2021-06-07,Platinum Monthly ($2.99 Debit/CC Fee),2021-06-07,Gym Membership
2021-01-04,2020-12-05,Platinum Monthly (Pay w Routing/Acct Only),2020-12-05,Gym Membership
2021-05-30,2021-05-30,Gold Monthly (Pay w/Routing&Acct Only),2021-05-30,Gym Membership
2021-07-13,2021-07-13,Gold Monthly (Pay w/Routing&Acct Only),2021-07-13,Gym Membership
2021-08-17,2021-08-17,Platinum Paid in Full,2021-08-17,Gym Membership
2021-04-30,2021-04-30,Platinum Monthly (Pay w Routing/Acct Only),2021-04-30,Gym Membership
2021-05-10,2021-05-10,Gold Monthly ($2.99 Debit/CC Fee),2021-05-10,Gym Membership
2021-02-26,2021-02-26,Gold Paid in Full,2021-02-26,Gym Membership
2021-01-08,2021-01-08,Platinum Monthly ($2.99 CC Fee),2021-01-08,Gym Membership
2021-02-07,2021-02-07,Gold Monthly (Pay w/Routing&Acct Only),2021-02-07,Gym Membership
2021-06-07,2021-06-07,Gold Monthly (Pay w/Routing&Acct Only),2021-06-07,Gym Membership
2021-08-31,2021-08-31,Platinum Monthly (Pay w Routing/Acct Only),2021-08-31,Gym Membership
2021-03-06,2021-03-06,Platinum Paid in Full,2021-03-06,Gym Membership
2021-05-20,2021-05-20,Gold Monthly ($2.99 Debit/CC Fee),2021-05-20,Gym Membership
2021-05-26,2021-05-26,Gold Monthly ($2.99 Debit/CC Fee),2021-05-26,Gym Membership
2021-08-06,2021-08-06,Diamond Monthly (Pay w/Routing&Acct Only),2021-08-06,Gym Membership
2021-03-29,2021-03-29,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-29,Gym Membership
2021-02-14,2021-02-14,Platinum Monthly (Pay w Routing/Acct Only),2021-02-14,Gym Membership
2021-04-25,2021-04-25,Platinum Monthly (No Commitment),2021-04-25,Gym Membership
2021-04-19,2021-04-19,Platinum Monthly (Pay w Routing/Acct Only),2021-04-19,Gym Membership
2021-03-10,2021-03-10,Platinum Monthly (Pay w Routing/Acct Only),2021-03-10,Gym Membership
2021-01-22,2021-01-22,Gold Monthly ($2.99 CC Fee),2021-01-22,Gym Membership
2021-02-18,2021-02-18,Platinum Monthly (No Commitment),2021-02-18,Gym Membership
2021-03-01,2021-03-01,Platinum Paid in Full,2021-03-01,Gym Membership
2021-06-02,2021-06-02,Platinum Paid in Full,2021-06-02,Gym Membership
2021-03-01,2021-03-01,Gold Paid in Full,2021-03-01,Gym Membership
2021-03-15,2021-03-15,Gold Monthly,2021-03-15,Gym Membership
2021-04-13,2021-04-13,Platinum Monthly (Pay w Routing/Acct Only),2021-04-13,Gym Membership
2021-10-25,2021-10-25,Gold Paid in Full,2021-10-25,Gym Membership
2021-07-19,2021-07-19,Platinum Monthly (Pay w Routing/Acct Only),2021-07-19,Gym Membership
2021-06-16,2021-06-16,Gold Monthly (Pay w/Routing&Acct Only),2021-06-16,Gym Membership
2021-03-02,2021-03-02,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-02,Gym Membership
2021-06-02,2021-06-02,10 Training Sessions ($35 per session),2021-06-02,Personal Training 
2021-05-13,2021-05-13,Platinum Monthly (Pay w Routing/Acct Only),2021-05-13,Gym Membership
2021-05-19,2021-05-19,Gold Monthly (Pay w/Routing&Acct Only),2021-05-19,Gym Membership
2021-07-09,2021-07-09,Gold Monthly ($2.99 Debit/CC Fee),2021-07-09,Gym Membership
2021-07-02,2021-07-02,Gold Monthly (Pay w/Routing&Acct Only),2021-07-02,Gym Membership
2021-03-29,2021-03-29,Diamond Monthly ($2.99 Debit/CC Fee),2021-03-29,Gym Membership
2021-03-03,2021-03-03,Gold Monthly (Pay w/Routing&Acct Only),2021-03-03,Gym Membership
2021-09-05,2021-09-05,Gold Monthly (Pay w/Routing&Acct Only),2021-09-05,Gym Membership
2021-06-28,2021-06-28,Platinum Monthly (Pay w Routing/Acct Only),2021-06-28,Gym Membership
2021-02-11,2021-02-11,Platinum Monthly ($2.99 Debit/CC Fee),2021-02-11,Gym Membership
2021-04-27,2021-04-27,Platinum Monthly ($2.99 Debit/CC Fee),2021-04-27,Gym Membership
2021-06-10,2021-06-10,Platinum Monthly (Pay w Routing/Acct Only),2021-06-10,Gym Membership
2021-09-28,2021-09-28,Gold Monthly (No Commitment),2021-09-28,Gym Membership
2021-08-27,2021-08-27,Platinum Monthly (Pay w Routing/Acct Only),2021-08-27,Gym Membership
2021-09-22,2021-09-22,Platinum Monthly ($2.99 Debit/CC Fee),2021-09-22,Gym Membership
2021-04-07,2021-04-07,Platinum Monthly (Pay w Routing/Acct Only),2021-04-07,Gym Membership
2021-10-23,2021-10-23,Diamond Monthly ($2.99 Debit/CC Fee),2021-10-23,Gym Membership
2021-01-27,2021-01-27,Platinum Monthly ($2.99 CC Fee),2021-01-27,Gym Membership
2021-04-26,2021-04-26,Platinum Monthly (No Commitment),2021-04-26,Gym Membership
2021-08-19,2021-08-19,Diamond Monthly (Pay w/Routing&Acct Only),2021-08-19,Gym Membership
2021-09-17,2021-09-20,Gold Monthly (Pay w/Routing&Acct Only),2021-09-17,Gym Membership
2021-06-07,2021-06-07,Gold Monthly (Pay w/Routing&Acct Only),2021-06-07,Gym Membership
2021-02-13,2021-02-13,Gold Monthly (Pay w/Routing&Acct Only),2021-02-13,Gym Membership
2021-09-21,2021-09-21,Platinum Monthly (Pay w Routing/Acct Only),2021-09-21,Gym Membership
2017-01-01,2020-05-26,Diamond Monthly,2020-05-26,Gym Membership
2021-08-18,2021-08-18,Platinum Monthly (Pay w Routing/Acct Only),2021-08-18,Gym Membership
2021-02-01,2021-02-01,Gold Monthly (Pay w/Routing&Acct Only),2021-02-01,Gym Membership
2021-10-29,2021-10-29,Diamond Monthly ($2.99 Debit/CC Fee),2021-10-29,Gym Membership
2021-09-15,2021-09-15,Gold Monthly ($2.99 Debit/CC Fee),2021-09-15,Gym Membership
2021-06-23,2021-06-23,Gold Monthly (Pay w/Routing&Acct Only),2021-06-23,Gym Membership
2021-04-28,2021-04-28,Gold Monthly ($2.99 Debit/CC Fee),2021-04-28,Gym Membership
2021-03-23,2021-03-23,Diamond Monthly (No Commitment) ,2021-03-23,Gym Membership
2021-07-11,2021-07-11,Platinum Monthly (Pay w Routing/Acct Only),2021-07-11,Gym Membership
2021-01-05,2021-01-05,Gold Monthly ($2.99 CC Fee),2021-01-05,Gym Membership
2021-10-29,2021-10-29,Gold Paid in Full,2021-10-29,Gym Membership
2021-04-22,2021-04-22,Gold Monthly (No Commitment),2021-04-22,Gym Membership
2021-09-13,2021-09-13,Gold Paid in Full,2021-09-13,Gym Membership
2021-07-01,2021-07-01,Gold Monthly (Pay w/Routing&Acct Only),2021-07-01,Gym Membership
2021-09-28,2021-09-28,Gold Paid in Full,2021-09-28,Gym Membership
2021-03-12,2021-03-12,Platinum Monthly (Pay w Routing/Acct Only),2021-03-12,Gym Membership
2017-06-05,2021-07-17,Platinum Monthly (Pay w Routing/Acct Only),2021-07-17,Gym Membership
2021-01-26,2021-01-26,Platinum Monthly ($2.99 CC Fee),2021-01-26,Gym Membership
2021-04-01,2021-04-01,Platinum Paid in Full,2021-04-01,Gym Membership
2021-10-21,2021-10-21,Platinum Monthly (Pay w Routing/Acct Only),2021-10-21,Gym Membership
2021-05-09,2021-05-09,Platinum Paid in Full,2021-05-09,Gym Membership
2021-06-23,2021-06-23,Platinum Monthly ($2.99 Debit/CC Fee),2021-06-23,Gym Membership
2021-08-02,2021-08-02,Platinum Monthly (Pay w Routing/Acct Only),2021-08-02,Gym Membership
2021-08-29,2021-08-29,Platinum Paid in Full,2021-08-29,Gym Membership
2021-03-05,2021-03-05,Gold Monthly (Pay w/Routing&Acct Only),2021-03-05,Gym Membership
2021-04-12,2021-04-12,Gold Paid in Full,2021-04-12,Gym Membership
2021-05-11,2021-05-11,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-11,Gym Membership
2017-10-17,2021-01-27,Gold Monthly (Pay w/Routing&Acct Only),2021-01-27,Gym Membership
2021-03-10,2021-03-10,Gold Monthly (Pay w/Routing&Acct Only),2021-03-10,Gym Membership
2021-10-11,2021-10-11,Platinum Paid in Full,2021-10-11,Gym Membership
2021-06-30,2021-06-30,Platinum Monthly (Pay w Routing/Acct Only),2021-06-30,Gym Membership
2021-04-17,2021-04-17,Platinum Monthly (Pay w Routing/Acct Only),2021-04-17,Gym Membership
2021-10-04,2021-10-04,Gold Paid in Full,2021-10-04,Gym Membership
2017-09-01,2021-02-09,Gold Monthly (Pay w/Routing&Acct Only),2021-02-09,Gym Membership
2021-01-26,2021-01-26,Platinum Monthly ($2.99 Debit/CC Fee),2021-01-26,Gym Membership
2021-09-20,2021-09-20,Gold Monthly (Pay w/Routing&Acct Only),2021-09-20,Gym Membership
2021-01-16,2021-01-16,Platinum Monthly (Pay w Routing/Acct Only),2021-01-16,Gym Membership
2021-06-20,2021-06-20,Platinum Monthly (Pay w Routing/Acct Only),2021-06-20,Gym Membership
2021-05-07,2021-05-07,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-07,Gym Membership
2021-04-13,2021-04-13,Gold Paid in Full,2021-04-13,Gym Membership
2021-03-26,2021-03-26,Platinum Monthly (Pay w Routing/Acct Only),2021-03-26,Gym Membership
2021-04-07,2021-04-07,Gold Monthly (Pay w/Routing&Acct Only),2021-04-07,Gym Membership
2021-10-03,2021-10-03,Platinum Monthly (No Commitment),2021-10-03,Gym Membership
2021-08-16,2021-08-16,Gold Monthly (Pay w/Routing&Acct Only),2021-08-16,Gym Membership
2018-01-22,2021-01-15,Gold Monthly ($2.99 CC Fee),2021-01-15,Gym Membership
2021-05-11,2021-05-11,Gold Monthly ($2.99 Debit/CC Fee),2021-05-11,Gym Membership
2021-09-01,2021-09-01,Gold Monthly (No Commitment),2021-09-01,Gym Membership
2021-03-29,2021-03-29,Platinum Monthly (Pay w Routing/Acct Only),2021-03-29,Gym Membership
2021-03-06,2021-03-06,Diamond Paid in Full,2021-03-06,Gym Membership
2018-06-12,2021-04-18,Platinum Monthly (Pay w Routing/Acct Only),2021-04-18,Gym Membership
2021-04-07,2021-04-07,Gold Monthly (Pay w/Routing&Acct Only),2021-04-07,Gym Membership
2021-04-28,2021-04-28,Platinum Monthly (Pay w Routing/Acct Only),2021-04-28,Gym Membership
2021-09-20,2021-09-20,Platinum Monthly (No Commitment),2021-09-20,Gym Membership
2021-09-19,2021-09-19,Platinum Monthly (Pay w Routing/Acct Only),2021-09-19,Gym Membership
2021-10-18,2021-10-18,Gold Monthly (No Commitment),2021-10-18,Gym Membership
2021-02-10,2021-02-10,Platinum Paid in Full,2021-02-10,Gym Membership
2021-04-22,2021-04-21,Platinum Monthly (Pay w Routing/Acct Only),2021-04-22,Gym Membership
2021-01-17,2021-01-17,Platinum Monthly ($2.99 CC Fee),2021-01-17,Gym Membership
2021-01-13,2021-01-13,Gold Monthly ($2.99 CC Fee),2021-01-13,Gym Membership
2021-07-11,2021-07-11,Gold Monthly (Pay w/Routing&Acct Only),2021-07-11,Gym Membership
2021-03-22,2021-03-22,Gold Monthly (Pay w/Routing&Acct Only),2021-03-22,Gym Membership
2021-03-26,2021-03-26,Platinum Monthly ($2.99 CC Fee),2021-03-26,Gym Membership
2021-01-13,2021-01-13,Gold Paid in Full,2021-01-13,Gym Membership
2021-09-14,2021-09-14,Platinum Monthly (Pay w Routing/Acct Only),2021-09-14,Gym Membership
2021-08-11,2021-08-11,Platinum Monthly ($2.99 Debit/CC Fee),2021-08-11,Marketing
2021-06-09,2021-06-09,Platinum Monthly ($2.99 Debit/CC Fee),2021-06-09,Gym Membership
2021-02-22,2021-02-22,Gold Monthly (Pay w/Routing&Acct Only),2021-02-22,Gym Membership
2021-07-15,2021-07-15,Platinum Monthly (Pay w Routing/Acct Only),2021-07-15,Gym Membership
2021-04-04,2021-04-04,Diamond Monthly (No Commitment) ,2021-04-04,Gym Membership
2021-10-01,2021-10-01,Platinum Monthly (Pay w Routing/Acct Only),2021-10-01,Gym Membership
2021-02-16,2021-02-16,Gold Monthly (Pay w/Routing&Acct Only),2021-02-16,Gym Membership
2021-03-08,2021-03-08,Platinum Monthly (Pay w Routing/Acct Only),2021-03-08,Gym Membership
2021-06-19,2021-06-19,Platinum Monthly (Pay w Routing/Acct Only),2021-06-19,Gym Membership
2021-03-06,2021-03-06,Gold Monthly (Pay w/Routing&Acct Only),2021-03-06,Gym Membership
2021-03-01,2021-03-01,Platinum Monthly ($2.99 CC Fee),2021-03-01,Gym Membership
2021-01-15,2021-01-15,Platinum Monthly ($2.99 CC Fee),2021-01-15,Gym Membership
2021-10-06,2021-10-06,Platinum Monthly ($2.99 Debit/CC Fee),2021-10-06,Gym Membership
2021-04-10,2021-04-10,Platinum Monthly (Pay w Routing/Acct Only),2021-04-10,Gym Membership
2021-10-15,2021-10-15,Gold Paid in Full,2021-10-15,Gym Membership
2021-07-01,2021-07-01,Gold Monthly,2021-07-01,Gym Membership
2021-06-07,2021-06-07,Gold Monthly (Pay w/Routing&Acct Only),2021-06-07,Gym Membership
2021-02-18,2021-02-18,Platinum Monthly (Pay w Routing/Acct Only),2021-02-18,Gym Membership
2021-07-20,2021-07-20,Gold Monthly (Pay w/Routing&Acct Only),2021-07-20,Gym Membership
2021-05-17,2021-05-17,SILVER SNEAKERS ,2021-05-17,Gym Membership
2021-07-01,2021-07-01,Gold Monthly (Pay w/Routing&Acct Only),2021-07-01,Gym Membership
2021-07-18,2021-07-18,Platinum Monthly (Pay w Routing/Acct Only),2021-07-18,Gym Membership
2021-07-25,2021-07-25,Gold Monthly (Pay w/Routing&Acct Only),2021-07-25,Gym Membership
2021-08-30,2021-08-30,Platinum Monthly (Pay w Routing/Acct Only),2021-08-30,Gym Membership
2021-10-05,2021-10-05,Gold Paid in Full,2021-10-05,Gym Membership
2021-02-17,2021-02-17,Platinum Monthly (Pay w Routing/Acct Only),2021-02-17,Gym Membership
2021-08-23,2021-08-23,Gold Monthly (Pay w/Routing&Acct Only),2021-08-23,Gym Membership
2021-04-26,2021-04-26,Diamond Paid in Full,2021-04-26,Gym Membership
2021-03-14,2021-03-14,Gold Paid in Full,2021-03-14,Gym Membership
2021-03-02,2021-03-02,SILVER SNEAKERS ,2021-03-02,Gym Membership
2021-10-10,2021-10-10,Platinum Paid in Full,2021-10-10,Gym Membership
2021-04-23,2021-04-23,Platinum Monthly (Pay w Routing/Acct Only),2021-04-23,Gym Membership
2021-05-24,2021-05-24,Diamond Monthly (Pay w/Routing&Acct Only),2021-05-24,Gym Membership
2021-09-27,2021-09-27,Platinum Paid in Full,2021-09-27,Gym Membership
2021-02-09,2021-02-09,Gold Monthly (Pay w/Routing&Acct Only),2021-02-09,Gym Membership
2021-04-22,2021-04-22,Platinum Monthly (No Commitment),2021-04-22,Gym Membership
2021-08-12,2021-08-12,Diamond Monthly (Pay w/Routing&Acct Only),2021-08-12,Gym Membership
2021-07-25,2021-07-25,Platinum Monthly (No Commitment),2021-07-25,Gym Membership
2021-10-26,2021-10-26,Gold Monthly ($2.99 Debit/CC Fee),2021-10-26,Gym Membership
2021-04-23,2021-04-23,Gold Monthly (Pay w/Routing&Acct Only),2021-04-23,Gym Membership
2021-10-13,2021-10-13,Platinum Monthly (Pay w Routing/Acct Only),2021-10-13,Gym Membership
2021-04-25,2021-04-25,Gold Paid in Full,2021-04-25,Gym Membership
2021-05-27,2021-05-27,Gold Monthly (Pay w/Routing&Acct Only),2021-05-27,Gym Membership
2021-02-01,2021-02-01,Gold Monthly (Pay w/Routing&Acct Only),2021-02-01,Gym Membership
2021-08-19,2021-08-19,Gold Monthly (Pay w/Routing&Acct Only),2021-08-19,Gym Membership
2021-03-19,2021-03-19,Gold Monthly ($2.99 Debit/CC Fee),2021-03-19,Gym Membership
2021-08-31,2021-08-31,Gold Monthly (Pay w/Routing&Acct Only),2021-08-31,Gym Membership
2021-05-05,2021-05-05,Diamond Monthly (No Commitment) ,2021-05-05,Gym Membership
2021-02-08,2021-02-08,Gold Monthly,2021-02-08,Gym Membership
2021-09-17,2021-09-17,Platinum Monthly (Pay w Routing/Acct Only),2021-09-17,Gym Membership
2021-05-30,2021-05-30,Gold Monthly (Pay w/Routing&Acct Only),2021-05-30,Gym Membership
2021-02-02,2021-02-02,Gold Monthly (Pay w/Routing&Acct Only),2021-02-02,Gym Membership
2021-02-19,2021-02-19,Platinum Monthly (No Commitment),2021-02-19,Gym Membership
2021-08-23,2021-08-23,Gold Monthly ($2.99 Debit/CC Fee),2021-08-23,Gym Membership
2021-07-21,2021-07-21,Platinum Monthly ($2.99 Debit/CC Fee),2021-07-21,Gym Membership
2021-02-16,2021-02-16,Platinum Monthly (Pay w Routing/Acct Only),2021-02-16,Gym Membership
2021-03-02,2021-03-02,Platinum Monthly (Pay w Routing/Acct Only),2021-03-02,Gym Membership
2021-02-22,2021-02-22,Platinum Monthly (Pay w Routing/Acct Only),2021-02-22,Gym Membership
